STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-10T23:52:00,"22000,1,9,N","+0180,1","10117,1","+0260,1","016093,1,N,1","130,1,N,0082,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T00:00:00,"22000,5,M,N","+0178,5","10117,5","+0256,5","016000,5,N,1","130,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T00:52:00,"07315,5,M,N","+0172,5","10117,5","+0244,5","016000,5,N,1","130,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T01:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T01:52:00,"22000,5,M,N","+0172,5","10119,5","+0222,5","016000,5,N,1","140,5,N,0052,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T02:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T02:52:00,"22000,1,9,N","+0180,1","10121,1","+0220,1","016093,1,N,1","140,1,N,0072,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T03:00:00,"22000,5,M,N","+0178,5","10121,5","+0217,5","016000,5,N,1","140,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T03:52:00,"22000,5,M,N","+0178,5","10129,5","+0211,5","016000,5,N,1","150,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T04:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T04:52:00,"22000,5,M,N","+0172,5","10128,5","+0206,5","016000,5,N,1","140,5,N,0057,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T05:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T05:52:00,"01800,1,9,N","+0170,1","10127,1","+0210,1","016093,1,N,1","140,1,N,0057,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T05:59:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T06:00:00,"01829,5,M,N","+0172,5","10127,5","+0206,5","016000,5,N,1","140,5,N,0057,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T06:52:00,"22000,5,M,N","+0172,5","10121,5","+0200,5","016000,5,N,1","140,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T07:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T07:52:00,"22000,5,M,N","+0172,5","10112,5","+0200,5","016000,5,N,1","140,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T08:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T08:52:00,"22000,1,9,N","+0180,1","10112,1","+0190,1","014484,1,N,1","150,1,N,0051,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T09:00:00,"22000,5,M,N","+0178,5","10112,5","+0194,5","014400,5,N,1","150,5,N,0052,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T09:35:00,"00360,1,9,N","+0180,1","99999,9","+0200,1","016093,1,N,1","150,1,N,0062,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T09:52:00,"00305,5,M,N","+0178,5","10114,5","+0200,5","014400,5,N,1","150,5,N,0062,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T10:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
